City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sao filipe,14.9,-24.5,74.05,80,11,4.99,CV,1591126355
buala,-8.14,159.59,81.61,78,39,7.34,SB,1591126355
mpika,-11.83,31.45,56.93,69,0,5.06,ZM,1591126355
ponta delgada,37.73,-25.67,60.8,87,40,19.46,PT,1591126355
vaini,-21.2,-175.2,77,83,20,6.93,TO,1591126355
nikolskoye,59.7,30.79,57.2,41,3,11.18,RU,1591126356
northam,51.03,-4.22,64.99,59,89,4,GB,1591126356
punta arenas,-53.15,-70.92,42.8,71,20,23.04,CL,1591126356
bluff,-46.6,168.33,53.02,77,100,10.71,NZ,1591126356
broken hill,-31.95,141.43,50,87,40,11.41,AU,1591126264
busselton,-33.65,115.33,51.01,72,42,6.82,AU,1591126356
cabo san lucas,22.89,-109.91,81,54,5,14.99,MX,1591126356
saint-philippe,-21.36,55.77,71.6,77,79,8.05,RE,1591126357
new norfolk,-42.78,147.06,46,68,46,4.85,AU,1591126357
hastings,50.86,0.57,68,59,34,2.24,GB,1591126357
kankon,15.02,74.02,77,94,90,18.05,IN,1591126357
cape town,-33.93,18.42,62.01,87,40,5.82,ZA,1591126332
dikson,73.51,80.55,30.94,98,0,6.78,RU,1591126357
yellowknife,62.46,-114.35,50,61,75,16.11,CA,1591126357
vila velha,-20.33,-40.29,86,40,0,4.7,BR,1591126319
norman wells,65.28,-126.83,51.8,57,75,4.7,CA,1591126358
rikitea,-23.12,-134.97,75.72,79,100,7.54,PF,1591126358
esperance,-33.87,121.9,51.8,87,100,12.75,AU,1591126358
bilibino,68.05,166.44,50.56,50,62,4.65,RU,1591126358
nikolayevsk-na-amure,53.14,140.73,42.37,92,100,4.05,RU,1591126358
jamestown,42.1,-79.24,71.01,68,90,10.29,US,1591126259
avarua,-21.21,-159.78,75.2,73,66,8.05,CK,1591126138
ketchikan,55.34,-131.65,51.8,81,90,18.34,US,1591126359
kirakira,-10.45,161.92,80.83,83,84,8.05,SB,1591126359
krasnoselkup,65.7,82.47,44.31,59,47,7.07,RU,1591126359
kununurra,-15.77,128.73,68,41,88,6.93,AU,1591126359
kungurtug,50.6,97.52,44.8,86,100,1.5,RU,1591126359
leningradskiy,69.38,178.42,42.19,74,0,2.42,RU,1591126359
san rafael,-34.62,-68.33,63.61,29,66,14.99,AR,1591126359
hilo,19.73,-155.09,80.6,65,75,3.36,US,1591126105
neiafu,-18.65,-173.98,78.8,78,75,8.05,TO,1591126360
keshorai patan,25.3,75.93,84.38,49,0,7.29,IN,1591126360
barrow,71.29,-156.79,30.2,92,90,20.8,US,1591126360
roald,62.58,6.13,54,87,75,14.99,NO,1591126360
bakchar,57.02,82.07,44.49,92,99,8.57,RU,1591126360
georgetown,5.41,100.34,82.4,88,20,2.21,MY,1591126081
khatanga,71.97,102.5,48.78,58,36,11.21,RU,1591126361
chuy,-33.7,-53.46,55.06,73,54,3.13,UY,1591126361
ostrovnoy,68.05,39.51,52.32,75,9,18.95,RU,1591126361
tiksi,71.69,128.87,35.1,85,27,6.78,RU,1591126361
victoria,22.29,114.16,84,74,97,10,HK,1591126361
castro,-24.79,-50.01,60.13,89,77,1.43,BR,1591126361
cayenne,4.93,-52.33,82.4,83,20,3.36,GF,1591126202
galesong,-5.32,119.37,77,100,20,2.24,ID,1591126361
tura,25.52,90.22,74.77,89,37,8.41,IN,1591126361
luderitz,-26.65,15.16,57.2,82,100,2.24,NA,1591126362
bethel,41.37,-73.41,66,48,90,3.36,US,1591126362
mount isa,-20.73,139.5,53.6,30,100,8.05,AU,1591126362
moerai,-22.43,-151.33,74.66,74,100,26.26,PF,1591126362
san andres,12.58,-81.7,84.2,74,75,4.7,CO,1591126362
tuktoyaktuk,69.45,-133.04,42.8,77,5,12.75,CA,1591126362
nioki,-2.72,17.68,73.44,90,98,1.99,CD,1591126362
izhma,65.01,53.91,41.63,67,77,2.62,RU,1591126362
hithadhoo,-0.6,73.08,84.33,65,96,6.24,MV,1591126362
omboue,-1.57,9.26,77.34,87,100,7.09,GA,1591126363
iqaluit,63.75,-68.51,37.4,74,40,4.7,CA,1591126363
upernavik,72.79,-56.15,31.1,96,99,5.86,GL,1591126363
port alfred,-33.59,26.89,62.01,83,100,3,ZA,1591126363
athabasca,54.72,-113.29,66.22,44,28,15.73,CA,1591126363
timmins,48.47,-81.33,59,100,75,5.82,CA,1591126239
bredasdorp,-34.53,20.04,53.6,87,100,3.36,ZA,1591126364
cairns,-16.92,145.77,68,82,4,8.05,AU,1591126364
hobart,-42.88,147.33,46.4,75,40,12.75,AU,1591126253
kapaa,22.08,-159.32,82.99,83,75,5.82,US,1591126364
terrace bay,48.78,-87.1,57.2,93,40,2.24,CA,1591126364
arraial do cabo,-22.97,-42.03,77,78,40,11.41,BR,1591126364
saskylakh,71.92,114.08,37.76,76,52,7.45,RU,1591126365
chokurdakh,70.63,147.92,37.13,78,100,9.53,RU,1591126365
padang,-0.95,100.35,78.94,74,100,1.86,ID,1591126365
kaitangata,-46.28,169.85,53.01,59,100,7,NZ,1591126365
carnduff,49.17,-101.8,77,32,31,10,CA,1591126365
omsukchan,62.53,155.8,41.9,74,90,6.29,RU,1591126365
atuona,-9.8,-139.03,80.42,76,20,13.98,PF,1591126365
jacmel,18.23,-72.53,87.8,66,20,14.99,HT,1591126365
longyearbyen,78.22,15.64,35.6,93,75,6.93,SJ,1591126365
flinders,-34.58,150.86,55,66,0,4,AU,1591126366
sitka,57.05,-135.33,48.2,93,90,9.17,US,1591126366
mataura,-46.19,168.86,47.39,84,100,4.12,NZ,1591126366
mariental,-24.63,17.97,64.56,26,10,10.56,NA,1591126366
kamaishi,39.27,141.88,60.44,67,76,4.43,JP,1591126366
samarai,-10.62,150.67,79.99,85,100,14.32,PG,1591126366
ushuaia,-54.8,-68.3,37.4,86,75,25.28,AR,1591126366
ponta do sol,32.67,-17.1,68,88,40,10.29,PT,1591126367
canico,32.63,-16.85,68,88,40,10.29,PT,1591126367
torbay,47.67,-52.73,53.01,100,90,21.92,CA,1591126367
labrea,-7.26,-64.8,85.57,71,86,2.82,BR,1591126242
acajutla,13.59,-89.83,73,100,96,1.01,SV,1591126073
atar,20.52,-13.05,104,19,98,10,MR,1591126367
faanui,-16.48,-151.75,80.31,78,100,14.45,PF,1591126367
port lincoln,-34.73,135.87,56.16,82,76,9.89,AU,1591126367
airai,-8.93,125.41,55.38,100,7,4.25,TL,1591126367
albany,42.6,-73.97,68,44,100,3.58,US,1591126085
izumo,35.37,132.77,60.8,87,75,4.7,JP,1591126368
cidreira,-30.18,-50.21,56.68,76,49,12.44,BR,1591126368
hermanus,-34.42,19.23,54,95,99,12.28,ZA,1591126368
tasiilaq,65.61,-37.64,44.6,56,75,10.29,GL,1591126368
